こむぎ ［うどん・そうめん類］ うどん 生 ,270,6.1,0.6,56.8,1.2,1000,90,18,13,0.3,0.3,0,0.09,0.03,0.03,0,5,0,2.5
こむぎ ［うどん・そうめん類］ うどん ゆで ,105,2.6,0.4,21.6,0.8,120,9,6,6,0.2,0.1,0,0.02,0.01,0.01,0,2,0,0.3
こむぎ ［うどん・そうめん類］ 干しうどん 乾 ,348,8.5,1.1,71.9,2.4,1700,130,17,19,0.6,0.4,0,0.08,0.02,0.04,0,9,0,4.3
こむぎ ［うどん・そうめん類］ 干しうどん ゆで ,126,3.1,0.5,25.8,0.7,210,14,7,4,0.2,0.1,0,0.02,0.01,0.01,0,2,0,0.5
こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾 ,356,9.5,1.1,72.7,2.5,1500,120,17,22,0.6,0.4,0,0.08,0.02,0.03,0,8,0,3.8
こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで ,127,3.5,0.4,25.8,0.9,85,5,6,5,0.2,0.2,0,0.02,0.01,0,0,2,0,0.2
こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾 ,342,9.3,1.5,68.9,1.8,2300,110,20,23,0.6,0.4,0,0.06,0.02,0.03,0,10,0,5.8
こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで ,127,3.5,0.6,25.5,1.0,130,5,6,4,0.2,0.1,0,0.03,0.01,0,0,2,0,0.3
こむぎ ［中華めん類］ 中華めん 生 ,281,8.6,1.2,55.7,2.1,410,350,21,13,0.5,0.4,0,0.02,0.02,0.02,0,8,0,1.0
こむぎ ［中華めん類］ 中華めん ゆで ,149,4.9,0.6,29.2,1.3,70,60,20,7,0.3,0.2,0,0.01,0.01,0,0,3,0,0.2
こむぎ ［中華めん類］ 蒸し中華めん ,198,5.3,1.7,38.4,1.9,170,86,9,10,0.3,0.2,0,0.01,0.01,0.02,0,4,0,0.4
こむぎ ［中華めん類］ 干し中華めん 乾 ,365,10.5,1.6,73.0,2.9,500,310,18,24,0.7,0.6,0,0.03,0.03,0.05,0,11,0,1.3
こむぎ ［中華めん類］ 干し中華めん ゆで ,140,4.1,0.5,28.1,1.5,75,40,10,9,0.3,0.2,0,0.01,0.01,0,0,2,0,0.2
こむぎ ［中華めん類］ 沖縄そば 生 ,284,9.2,2.0,54.2,2.1,810,340,11,50,0.7,1.1,0,0.02,0.04,0.11,0,15,0,2.1
こむぎ ［中華めん類］ 沖縄そば ゆで ,147,5.2,0.8,28.0,1.5,170,80,9,28,0.4,0.6,0,0.01,0.02,0.03,0,6,0,0.4
こむぎ ［中華めん類］ 干し沖縄そば 乾 ,351,12.0,1.7,67.8,2.1,1700,130,23,22,1.5,0.4,0,0.12,0.05,0.05,0,8,0,4.3
こむぎ ［中華めん類］ 干し沖縄そば ゆで ,148,5.2,0.6,28.6,1.5,200,10,11,8,0.5,0.1,0,0.02,0.02,0.01,0,3,0,0.5
こむぎ ［即席めん類］ 即席中華めん 油揚げ味付け ,445,10.1,16.7,63.5,2.5,2500,260,430,29,1.0,0.5,1,1.46,1.67,0.06,0,12,0,6.4
こむぎ ［即席めん類］ 即席中華めん 油揚げ ,458,10.1,19.1,61.4,2.4,2200,150,230,25,0.9,0.5,3,0.55,0.83,0.05,0,10,0,5.6
こむぎ ［即席めん類］ 即席中華めん 非油揚げ ,356,10.3,5.2,67.1,2.3,2700,260,110,25,0.8,0.4,3,0.21,0.04,0.05,0,14,0,6.9
こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ ,448,10.7,19.7,56.9,2.3,2700,210,190,27,1.3,0.6,7,0.68,0.53,0.07,0.2,21,1,6.9
